127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/admin-bar.min.js?ver=5.8 HTTP/1.0" 200 3556
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/api-request.min.js?ver=5.8 HTTP/1.0" 200 1025
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/clipboard.min.js?ver=5.8 HTTP/1.0" 200 10607
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/dist/dom-ready.min.js?ver=71883072590656bf22c74c7b887df3dd HTTP/1.0" 200 1257
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/dist/a11y.min.js?ver=0ac8327cc1c40dcfdf29716affd7ac63 HTTP/1.0" 200 3009
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/dist/vendor/lodash.min.js?ver=4.17.19 HTTP/1.0" 200 73015
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/dist/url.min.js?ver=41088521039aa510728086754722537c HTTP/1.0" 200 5002
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/site-health.min.js?ver=5.8 HTTP/1.0" 200 6142
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/wp-ajax-response.min.js?ver=5.8 HTTP/1.0" 200 2082
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/jquery/jquery.color.min.js?ver=2.1.2 HTTP/1.0" 200 9315
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/wp-lists.min.js?ver=5.8 HTTP/1.0" 200 7442
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/quicktags.min.js?ver=5.8 HTTP/1.0" 200 11133
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/jquery/jquery.query.js?ver=2.1.7 HTTP/1.0" 200 3785
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/edit-comments.min.js?ver=5.8 HTTP/1.0" 200 15268
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/jquery/ui/core.min.js?ver=1.12.1 HTTP/1.0" 200 20787
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/jquery/ui/mouse.min.js?ver=1.12.1 HTTP/1.0" 200 3380
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.12.1 HTTP/1.0" 200 24782
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/postbox.min.js?ver=5.8 HTTP/1.0" 200 6713
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.1 HTTP/1.0" 200 58325
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.0" 200 13194
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/dashboard.min.js?ver=5.8 HTTP/1.0" 200 8797
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/plugin-install.min.js?ver=5.8 HTTP/1.0" 200 2403
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/dist/date.min.js?ver=061439ac4325ef057b8f9c142c82a823 HTTP/1.0" 200 203411
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/wp-sanitize.min.js?ver=5.8 HTTP/1.0" 200 458
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/updates.min.js?ver=5.8 HTTP/1.0" 200 41065
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/shortcode.min.js?ver=5.8 HTTP/1.0" 200 2650
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/media-upload.min.js?ver=5.8 HTTP/1.0" 200 1152
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-admin/js/svg-painter.js?ver=5.8 HTTP/1.0" 200 5522
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/heartbeat.min.js?ver=5.8 HTTP/1.0" 200 5877
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/wp-auth-check.min.js?ver=5.8 HTTP/1.0" 200 1658
127.0.0.1 - - [24/Jul/2021:13:16:10 +0900] "GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.12.1 HTTP/1.0" 200 9531
